id,name,middle_category_id,order_number,brand_upper_category_id,size_type_id,
603,携帯用ゲームソフト,68,4,8,,
604,PCゲーム,68,5,8,,
605,その他,68,6,8,,
606,キャラクターグッズ,69,1,,,
607,ぬいぐるみ,69,2,,,
608,小物/アクセサリー,69,3,,,
609,模型/プラモデル,69,4,,,
610,ミニカー,69,5,,,
611,トイラジコン,69,6,,,
612,プラモデル,69,7,,,
613,ホビーラジコン,69,8,,,
614,鉄道模型,69,9,,,
615,その他,69,10,,,
616,アイドル,70,1,,,
617,ミュージシャン,70,2,,,
618,タレント/お笑い芸人,70,3,,,
619,スポーツ選手,70,4,,,
620,その他,70,5,,,
621,ストラップ,71,1,,,
622,キーホルダー,71,2,,,
623,バッジ,71,3,,,
624,カード,71,4,,,
625,クリアファイル,71,5,,,
626,ポスター,71,6,,,
627,タオル,71,7,,,
628,その他,71,8,,,
629,遊戯王,72,1,,,
630,マジック：ザ：ギャザリング,72,2,,,
631,ポケモンカードゲーム,72,3,,,
632,デュエルマスターズ,72,4,,,
633,バトルスピリッツ,72,5,,,
634,プリパラ,72,6,,,
635,アイカツ,72,7,,,
636,カードファイト!!ヴァンガード,72,8,,,
637,ヴァイスシュヴァルツ,72,9,,,
638,プロ野球オーナーズリーグ,72,10,,,
639,ベースボールヒーローズ,72,11,,,
640,ドラゴンボール,72,12,,,
641,スリーブ,72,13,,,
642,その他,72,14,,,
643,コミック/アニメ,73,1,,,
644,特撮,73,2,,,
645,ゲームキャラクター,73,3,,,
646,SF/ファンタジー/ホラー,73,4,,,
647,アメコミ,73,5,,,
648,スポーツ,73,6,,,
649,ミリタリー,73,7,,,
650,その他,73,8,,,
651,エレキギター,74,1,12,,
652,アコースティックギター,74,2,12,,
653,ベース,74,3,12,,
654,エフェクター,74,4,12,,
655,アンプ,74,5,12,,
656,弦楽器,74,6,12,,
657,管楽器,74,7,12,,
658,鍵盤楽器,74,8,12,,
659,打楽器,74,9,12,,
660,和楽器,74,10,12,,
661,楽譜/スコア,74,11,,,
662,レコーディング/PA機器,74,12,12,,
663,DJ機器,74,13,12,,
664,DTM/DAW,74,14,12,,
665,その他,74,15,12,,
666,武具,75,1,,,
667,使用済切手/官製はがき,75,2,,,
668,旧貨幣/金貨/銀貨/記念硬貨,75,3,,,
669,印刷物,75,4,,,
670,ノベルティグッズ,75,5,,,
671,その他,75,6,,,
672,トイガン,76,1,,,
673,個人装備,76,2,,,
674,その他,76,3,,,
675,陶芸,77,1,,,
676,ガラス,77,2,,,
677,漆芸,77,3,,,
678,金属工芸,77,4,,,
679,絵画/タペストリ,77,5,,,
680,版画,77,6,,,
681,彫刻/オブジェクト,77,7,,,
682,書,77,8,,,
683,写真,77,9,,,
684,その他,77,10,,,
685,画材,78,1,,,
686,額縁,78,2,,,
687,その他,78,3,,,
688,トランプ/UNO,79,1,,,
689,カルタ/百人一首,79,2,,,
690,ダーツ,79,3,,,
691,ビリヤード,79,4,,,
692,麻雀,79,5,,,
693,パズル/ジグソーパズル,79,6,,,
694,囲碁/将棋,79,7,,,
695,オセロ/チェス,79,8,,,
696,人生ゲーム,79,9,,,
697,野球/サッカーゲーム,79,10,,,
698,スポーツ,79,11,,,
699,三輪車/乗り物,79,12,,,
700,ヨーヨー,79,13,,,
701,模型製作用品,79,14,,,
702,鉄道,79,15,,,
703,航空機,79,16,,,
704,アマチュア無線,79,17,,,
705,パチンコ/パチスロ,79,18,,,
706,その他,79,19,,,
707,ファンデーション,80,1,7,,
708,化粧下地,80,2,7,,
709,コントロールカラー,80,3,7,,
710,BBクリーム,80,4,7,,
711,CCクリーム,80,5,7,,
712,コンシーラー,80,6,7,,
713,フェイスパウダー,80,7,7,,
714,トライアルセット/サンプル,80,8,7,,
715,その他,80,9,7,,
716,アイシャドウ,81,1,7,,
717,口紅,81,2,7,,
718,リップグロス,81,3,7,,
719,リップライナー,81,4,7,,
720,チーク,81,5,7,,
721,フェイスカラー,81,6,7,,
722,マスカラ,81,7,7,,
723,アイライナー,81,8,7,,
724,つけまつげ,81,9,7,,
725,アイブロウペンシル,81,10,7,,
726,パウダーアイブロウ,81,11,7,,
727,眉マスカラ,81,12,7,,
728,トライアルセット/サンプル,81,13,7,,
729,メイク道具/化粧小物,81,14,7,,
730,美顔用品/美顔ローラー,81,15,7,,
731,その他,81,16,7,,
732,ネイルカラー,82,1,7,,
733,カラージェル,82,2,7,,
734,ネイルベースコート/トップコート,82,3,7,,
735,ネイルアート用品,82,4,7,,
736,ネイルパーツ,82,5,7,,
737,ネイルチップ/付け爪,82,6,7,,
738,手入れ用具,82,7,7,,
739,除光液,82,8,7,,
740,その他,82,9,7,,
741,香水（女性用）,83,1,7,,
742,香水（男性用）,83,2,7,,
743,ユニセックス,83,3,7,,
744,ボディミスト,83,4,7,,
745,その他,83,5,7,,
746,化粧水/ローション,84,1,7,,
747,乳液/ミルク,84,2,7,,
748,美容液,84,3,7,,
749,フェイスクリーム,84,4,7,,
750,洗顔料,84,5,7,,
751,クレンジング/メイク落とし,84,6,7,,
752,パック/フェイスマスク,84,7,7,,
753,ジェル/ゲル,84,8,7,,
754,ブースター/導入液,84,9,7,,
755,アイケア,84,10,7,,
756,リップケア,84,11,7,,
757,トライアルセット/サンプル,84,12,7,,
758,洗顔グッズ,84,13,7,,
759,その他,84,14,7,,
760,シャンプー,85,1,7,,
761,トリートメント,85,2,7,,
762,コンディショナー,85,3,7,,
763,リンス,85,4,7,,
764,スタイリング剤,85,5,7,,
765,カラーリング剤,85,6,7,,
766,ブラシ,85,7,7,,
767,その他,85,8,7,,
768,オイル/クリーム,86,1,7,,
769,ハンドクリーム,86,2,7,,
770,ローション,86,3,7,,
771,日焼け止め/サンオイル,86,4,7,,
772,ボディソープ,86,5,7,,
773,入浴剤,86,6,7,,
774,制汗/デオドラント,86,7,7,,
775,フットケア,86,8,7,,
776,その他,86,9,7,,
777,口臭防止/エチケット用品,87,1,7,,
778,歯ブラシ,87,2,7,,
779,その他,87,3,7,,
780,エッセンシャルオイル,88,1,7,,
781,芳香器,88,2,7,,
782,お香/香炉,88,3,7,,
783,キャンドル,88,4,7,,
784,リラクゼーショングッズ,88,5,7,,
785,その他,88,6,7,,
786,ダイエット食品,89,1,7,,
787,エクササイズ用品,89,2,7,,
788,体重計,89,3,7,,
789,体脂肪計,89,4,7,,
790,その他,89,5,7,,
791,健康用品,90,1,7,,
792,看護/介護用品,90,2,7,,
793,救急/衛生用品,90,3,7,,
794,その他,90,4,7,,
795,スマートフォン本体,91,1,10,,
796,バッテリー/充電器,91,2,10,,
797,携帯電話本体,91,3,10,,
798,PHS本体,91,4,10,,
